paper,propensity_score
Pitfalls of In-Domain Uncertainty Estimation and Ensembling in Deep Learning,0.3604855192454174
An Inductive Bias for Distances: Neural Nets that Respect the Triangle Inequality,0.567842168524473
Stochastic AUC Maximization with Deep Neural Networks,0.33432238131503383
On the interaction between supervision and self-play in emergent communication,0.40264434925933545
Towards Better Understanding of Adaptive Gradient Algorithms in Generative Adversarial Nets,0.33432238131503383
TabFact: A Large-scale Dataset for Table-based Fact Verification,0.3639159992464472
Keep Doing What Worked: Behavior Modelling Priors for Offline Reinforcement Learning,0.43605284319065146
Scale-Equivariant Steerable Networks,0.4102191594651217
Inductive and Unsupervised Representation Learning on Graph Structured Objects,0.29375353416335653
Online and stochastic optimization beyond Lipschitz continuity: A Riemannian approach,0.36154015309914206
HOPPITY: LEARNING GRAPH TRANSFORMATIONS TO DETECT AND FIX BUGS IN PROGRAMS,0.3122320533791469
Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering,0.40559619698962945
Drawing Early-Bird Tickets: Toward More Efficient Training of Deep Networks,0.3240346980013724
Learning from Rules Generalizing Labeled Exemplars,0.4147667495966138
Phase Transitions for the Information Bottleneck in Representation Learning,0.40304760152918284
Model-based reinforcement learning for biological sequence design,0.3268037903228856
GAT: Generative Adversarial Training for Adversarial Example Detection and Robust Classification,0.3429058413502731
StructBERT: Incorporating Language Structures into Pre-training for Deep Language Understanding,0.3240410561806525
Oblique Decision Trees from Derivatives of ReLU Networks,0.3654421163586098
DBA: Distributed Backdoor Attacks against Federated Learning,0.3922919417122011
Understanding and Improving Information Transfer in Multi-Task Learning,0.40485209958976065
FSPool: Learning Set Representations with Featurewise Sort Pooling,0.3855177752159783
RIDE: Rewarding Impact-Driven Exploration for Procedurally-Generated Environments,0.4090026218701704
Counterfactuals uncover the modular structure of deep generative models,0.4271862371067012
Neural Machine Translation with Universal Visual Representation,0.30921594655553003
Once-for-All: Train One Network and Specialize it for Efficient Deployment,0.31068818086352756
Learning Nearly Decomposable Value Functions Via Communication Minimization,0.27430574628547233
Bridging Mode Connectivity in Loss Landscapes and Adversarial Robustness,0.22775058002349752
The Break-Even Point on Optimization Trajectories of Deep Neural Networks,0.3560810839352743
Empirical Studies on the Properties of Linear Regions in Deep Neural Networks,0.33254178307869986
Learning to Group: A Bottom-Up Framework for 3D Part Discovery in Unseen Categories,0.4730151087229826
Learning Compositional Koopman Operators for Model-Based Control,0.40393783191581295
Meta-Learning without Memorization,0.46666937625947646
Guiding Program Synthesis by Learning to Generate Examples,0.3731896461447098
Truth or backpropaganda? An empirical investigation of deep learning theory,0.3247662106509097
What Can Neural Networks Reason About?,0.4192475412880509
U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,0.2759818037716189
Learning to Learn by Zeroth-Order Oracle,0.4320520383234086
Lite Transformer with Long-Short Range Attention,0.28402843845117465
Regularizing activations in neural networks via distribution matching with the Wasserstein metric,0.22979103357655745
The Ingredients of Real World Robotic Reinforcement Learning,0.46985352485510773
Relational State-Space Model for Stochastic Multi-Object Systems,0.23651503377834288
Empirical Bayes Transductive Meta-Learning with Synthetic Gradients,0.26120380608910265
Implicit Bias of Gradient Descent based Adversarial Training on Separable Data,0.332723593476935
word2ket: Space-efficient Word Embeddings inspired by Quantum Entanglement,0.32921770350353946
Towards Fast Adaptation of Neural Architectures with Meta Learning,0.2787983865673422
Hamiltonian Generative Networks,0.4348795472493774
Plug and Play Language Models: A Simple Approach to Controlled Text Generation,0.3235731438582607
"Deep 3D Pan via local adaptive t-shaped"" convolutions with global and local adaptive dilations""",0.215098565854388
Conservative Uncertainty Estimation By Fitting  Prior Networks,0.3366535319583351
Mutual Information Gradient Estimation for  Representation Learning,0.31870515412091205
Minimizing FLOPs to Learn Efficient Sparse Representations,0.3664172912550327
Data-Independent Neural Pruning via Coresets,0.3221076611489934
LEARNED STEP SIZE QUANTIZATION,0.44967351335541783
Learning To Explore Using Active Neural SLAM,0.4566275506296558
Towards Stabilizing Batch Statistics in Backward Propagation of Batch Normalization,0.36037390573866507
Tensor Decompositions for Temporal Knowledge Base Completion,0.38869736876508565
Generalization bounds for deep convolutional neural networks,0.2623462385420936
Meta-Dataset: A Dataset of Datasets for Learning to Learn from Few Examples,0.4419107389905044
Latent Normalizing Flows for Many-to-Many Cross-Domain Mappings,0.4493146601893861
Robustness Verification for Transformers,0.28982460647755226
Explain Your Move: Understanding Agent Actions Using Specific and Relevant Feature Attribution,0.43200126102386605
AdvectiveNet: An Eulerian-Lagrangian Fluidic Reservoir for Point Cloud Processing     ,0.3335871390937616
Batch-shaping for learning conditional channel gated networks,0.3477988356702359
Provable robustness against all adversarial $l_p$-perturbations for $p\geq 1$,0.38877305861448413
Distributionally Robust Neural Networks,0.40103741291376865
Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,0.37642708725414503
Fast Neural Network Adaptation via Parameter Remapping and Architecture Search,0.35708746718992207
Understanding Generalization in Recurrent Neural Networks,0.3423862425336687
Piecewise linear activations substantially shape the loss surfaces of neural networks,0.2313941849058467
ReClor: A Reading Comprehension Dataset Requiring Logical Reasoning,0.3852837518579242
Poly-encoders: Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,0.508649849739911
Understanding the Limitations of Variational Mutual Information Estimators,0.35335255479448496
A Baseline for Few-Shot Image Classification,0.3657696743768781
Hierarchical Foresight: Self-Supervised Learning of Long-Horizon Tasks via Visual Subgoal Generation,0.407692235687061
Pseudo-LiDAR++: Accurate Depth for 3D Object Detection in Autonomous Driving,0.44136764939494977
V4D: 4D Convolutional Neural Networks for Video-level Representation Learning,0.2747392312810961
Certified Defenses for Adversarial Patches,0.27759425076061367
Chameleon: Adaptive Code Optimization for Expedited Deep Neural Network Compilation,0.337952864804829
Semantically-Guided Representation Learning for Self-Supervised Monocular Depth,0.3175723305150883
MetaPix: Few-Shot Video Retargeting,0.3839804202179054
Lazy-CFR: fast and near-optimal regret minimization for extensive games with imperfect information,0.3638197005103861
Neural Module Networks for Reasoning over Text,0.45313073780673685
Shifted and Squeezed 8-bit Floating Point format for Low-Precision Training of Deep Neural Networks,0.29987018405950144
ProxSGD: Training Structured Neural Networks under Regularization and Constraints,0.21038461742174183
BayesOpt Adversarial Attack,0.35959033961941855
Distance-Based Learning from Errors for Confidence Calibration,0.38175989163746815
VL-BERT: Pre-training of Generic Visual-Linguistic Representations,0.3954702883909606
Symplectic Recurrent Neural Networks,0.5009660773271645
Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,0.3912207957273841
Learning Expensive Coordination: An Event-Based Deep RL Approach,0.279735059360219
Rapid Learning or Feature Reuse? Towards Understanding the Effectiveness of MAML,0.45825455877666443
Iterative energy-based projection on a normal data manifold for anomaly localization,0.21229146188819079
A closer look at the approximation capabilities of neural networks,0.276331598431907
Spectral  Embedding of Regularized Block Models,0.38747426747112407
MMA Training: Direct Input Space Margin Maximization through Adversarial Training,0.2865176748396178
Monotonic Multihead Attention,0.39339678027783836
Learning representations for binary-classification without backpropagation,0.28248317709662185
Action Semantics Network: Considering the Effects of Actions in Multiagent Systems,0.31060924354978875
Finite Depth and Width Corrections to the Neural Tangent Kernel,0.2875654074728655
What graph neural networks cannot learn: depth vs width,0.3721815468946619
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0.3760105324939679
Gradient $\ell_1$ Regularization for Quantization Robustness,0.4101998506288473
PairNorm: Tackling Oversmoothing in GNNs,0.34620855441379383
Cross-lingual Alignment vs Joint Training: A Comparative Study and A Simple Unified Framework,0.4225123294661061
Generalization of Two-layer Neural Networks: An Asymptotic Viewpoint,0.3240701235361378
LAMOL: LAnguage MOdeling for Lifelong Language Learning,0.2701347127754783
Neural Stored-program Memory,0.26776021849987325
BatchEnsemble: an Alternative Approach to Efficient Ensemble and Lifelong Learning,0.48781767584135144
Neural Arithmetic Units,0.30492763807034423
"To Relieve Your Headache of Training an MRF, Take AdVIL",0.2714322355976221
State Alignment-based Imitation Learning,0.4691480395980499
Influence-Based Multi-Agent Exploration,0.3378491702222566
AE-OT: A NEW GENERATIVE MODEL BASED ON EXTENDED SEMI-DISCRETE OPTIMAL TRANSPORT,0.2879827885621068
CoPhy: Counterfactual Learning of Physical Dynamics,0.35118307176431934
Disentangling Factors of Variations Using Few Labels,0.2856877827030551
Uncertainty-guided Continual Learning with Bayesian Neural Networks,0.46313766704604353
Composing Task-Agnostic Policies with Deep Reinforcement Learning,0.33445493720896885
Making Sense of Reinforcement Learning and Probabilistic Inference,0.39530582832899747
The Logical Expressiveness of Graph Neural Networks,0.3246688891306791
Language GANs Falling Short,0.4353814993485217
Directional Message Passing for Molecular Graphs,0.3920169267508079
A Target-Agnostic Attack on Deep Models: Exploiting Security Vulnerabilities of Transfer Learning,0.3332588626204983
At Stability's Edge: How to Adjust Hyperparameters to Preserve Minima Selection in Asynchronous Training of Neural Networks?,0.45586539876839743
Smoothness and Stability in GANs,0.3222617517937653
Infinite-Horizon Differentiable Model Predictive Control,0.33312738801534586
Observational Overfitting in Reinforcement Learning,0.4742998734173783
Improved Sample Complexities for Deep Neural Networks and Robust Classification via an All-Layer Margin,0.39265546897758197
SQIL: Imitation Learning via Reinforcement Learning with Sparse Rewards,0.44010671043935695
Feature Interaction Interpretability: A Case for Explaining Ad-Recommendation Systems via Neural Interaction Detection,0.3108061328900181
Selection via Proxy: Efficient Data Selection for Deep Learning,0.46067534064304055
Padé Activation Units: End-to-end Learning of Flexible Activation Functions in Deep Networks,0.3607868172937709
Lipschitz constant estimation of Neural Networks via sparse polynomial optimization,0.2700300433344243
